HousingPI22_GEOID,HousingPI22_Metro Name,HousingPI22_GEOID.1,HousingPI22_1980,HousingPI22_1981,HousingPI22_1982,HousingPI22_1983,HousingPI22_1984,HousingPI22_1985,HousingPI22_1986,HousingPI22_1987,HousingPI22_1988,HousingPI22_1989,HousingPI22_1990,HousingPI22_1991,HousingPI22_1992,HousingPI22_1993,HousingPI22_1994,HousingPI22_1995,HousingPI22_1996,HousingPI22_1997,HousingPI22_1998,HousingPI22_1999,HousingPI22_2000,HousingPI22_2001,HousingPI22_2002,HousingPI22_2003,HousingPI22_2004,HousingPI22_2005,HousingPI22_2006,HousingPI22_2007,HousingPI22_2008,HousingPI22_2009,HousingPI22_2010,HousingPI22_2011,HousingPI22_2012,HousingPI22_2013,HousingPI22_2014,HousingPI22_2015,HousingPI22_2016,HousingPI22_2017,HousingPI22_2018,HousingPI22_2019,HousingPI22_2020,HousingPI22_2021,HousingPI22_2022
42140,"Santa Fe, NM",42140,3.7,3.7,3.9,3.8,3.6,3.5,3.6,3.6,3.5,3.4,3.4,3.4,3.6,3.8,4.0,4.3,4.3,4.2,4.3,4.3,4.4,4.7,4.9,5.3,5.7,6.1,6.4,6.3,6.1,6.1,5.9,5.8,5.6,5.5,5.3,5.3,5.2,5.2,5.2,5.5,5.7,6.1,6.7
43100,"Sheboygan, WI",43100,2.5,2.4,2.2,2.3,2.2,2.1,2.0,2.0,1.9,1.9,1.9,2.0,2.0,2.0,2.1,2.2,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.6,2.8,2.9,2.9,2.8,2.8,2.7,2.6,2.6,2.5,2.4,2.4,2.5,2.6,2.6,2.7,2.8,3.2,3.7
43300,"Sherman-Denison, TX",43300,3.0,3.1,3.3,3.2,3.0,2.8,2.8,2.5,2.3,2.2,2.1,2.0,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.1,2.1,2.2,2.2,2.2,2.2,2.1,2.2,2.2,2.2,2.2,2.2,2.3,2.4,2.6,2.8,3.1,3.3,3.4,3.4,4.0,4.3
43340,"Shreveport-Bossier City, LA",43340,3.5,3.5,3.4,3.4,3.3,3.1,3.1,3.0,2.8,2.7,2.7,2.6,2.6,2.6,2.6,2.5,2.6,2.5,2.7,2.6,2.5,2.6,2.7,2.9,3.1,3.4,3.5,3.5,3.5,3.6,3.8,3.8,3.7,3.9,3.7,3.8,4.1,4.1,4.0,4.0,4.0,4.3,4.6
43420,"Sierra Vista-Douglas, AZ",43420,2.6,2.6,2.5,2.6,2.6,2.7,2.9,2.9,2.8,2.7,2.6,2.5,2.4,2.4,2.5,2.5,2.6,2.6,2.6,2.6,2.7,2.8,2.8,2.8,3.0,3.4,3.6,3.4,3.1,2.9,2.9,2.9,3.1,3.2,3.3,3.6,3.7,3.6,3.6,3.8,3.9,4.2,4.8
43580,"Sioux City, IA-NE-SD",43580,2.3,2.2,2.1,2.1,2.0,2.0,1.9,1.8,1.7,1.7,1.7,1.7,1.7,1.8,1.9,1.9,2.0,2.0,2.0,2.0,2.0,2.1,2.2,2.2,2.2,2.1,2.1,2.1,2.0,2.1,2.1,2.0,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,2.1,2.2,2.5
43620,"Sioux Falls, SD",43620,2.7,2.5,2.5,2.4,2.5,2.4,2.4,2.3,2.2,2.1,2.0,2.2,2.3,2.3,2.4,2.4,2.4,2.4,2.3,2.3,2.4,2.5,2.6,2.7,2.8,2.8,2.8,2.7,2.7,2.6,2.7,2.7,2.7,2.8,2.8,2.8,2.9,3.1,3.3,3.3,3.3,3.5,4.1
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,6.6,6.8,6.1,5.5,5.0,5.1,5.4,5.5,6.1,6.7,6.4,6.0,5.7,5.4,5.2,4.9,4.7,4.9,4.6,5.1,5.9,6.6,7.6,8.4,9.5,11.2,10.9,10.0,7.7,6.7,6.9,6.4,6.7,7.5,7.8,7.9,8.0,8.1,8.4,8.3,8.4,9.6,10.5
43780,"South Bend-Mishawaka, IN-MI",43780,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.9,2.0,2.0,2.1,2.0,1.9,2.0,2.1,2.1,2.1,2.1,2.0,2.3,2.2,2.2,2.2,2.3,2.2,2.1,1.9,1.9,1.9,1.9,2.0,2.1,2.2,2.4,2.3,2.4,2.4,2.5,2.6,2.9,3.3
43900,"Spartanburg, SC",43900,2.4,2.5,2.5,2.4,2.3,2.3,2.3,2.2,2.2,2.1,2.2,2.3,2.4,2.3,2.3,2.3,2.5,2.6,2.6,2.6,2.6,2.9,2.9,2.9,2.9,3.1,3.2,3.1,3.1,2.9,2.9,2.9,3.0,3.1,3.0,3.1,3.1,3.2,3.3,3.5,3.7,4.0,4.6
