Crosswalk2023_CBSA Code,Labor_Force_2015,Labor_Force_2016,Labor_Force_2017,Labor_Force_2018,Labor_Force_2019,Labor_Force_2020,Labor_Force_2021,Labor_Force_2022,Labor_Force_2023,Labor_Force_2024,Employed_2015,Employed_2016,Employed_2017,Employed_2018,Employed_2019,Employed_2020,Employed_2021,Employed_2022,Employed_2023,Employed_2024,Unemployed_2015,Unemployed_2016,Unemployed_2017,Unemployed_2018,Unemployed_2019,Unemployed_2020,Unemployed_2021,Unemployed_2022,Unemployed_2023,Unemployed_2024
32900.0,114083.0,113887.0,114798.0,114757.0,116109.0,115679,114794.0,115413.0,118893.0,120557.0,101088.0,101746.0,103937.0,105082.0,106648.0,101265,102914.0,106352.0,108163.0,108744.0,12995.0,12141.0,10861.0,9675.0,9461.0,14414,11880.0,9061.0,10730.0,11813.0
32940.0,37616.0,37432.0,38061.0,37098.0,36963.0,35702,35457.0,35113.0,34578.0,35115.0,35048.0,35121.0,35956.0,35182.0,34895.0,33058,33575.0,33742.0,33505.0,33990.0,2568.0,2311.0,2105.0,1916.0,2068.0,2644,1882.0,1371.0,1073.0,1125.0
33020.0,11219.0,12036.0,12013.0,11690.0,11505.0,11106,10987.0,10719.0,10532.0,10596.0,10690.0,11571.0,11628.0,11355.0,11156.0,10500,10627.0,10418.0,10208.0,10215.0,529.0,465.0,385.0,335.0,349.0,606,360.0,301.0,324.0,381.0
33060.0,14314.0,13051.0,13055.0,12945.0,12810.0,12943,13146.0,13692.0,13919.0,14099.0,13599.0,12355.0,12462.0,12470.0,12359.0,12113,12660.0,13268.0,13469.0,13627.0,715.0,696.0,593.0,475.0,451.0,830,486.0,424.0,450.0,472.0
33100.0,2970708.0,3006384.0,3070594.0,3087628.0,3130263.0,2993269,3066239.0,3180531.0,3268997.0,3309682.0,2806181.0,2856326.0,2936175.0,2976317.0,3033877.0,2741753,2910840.0,3090175.0,3187561.0,3214784.0,164527.0,150058.0,134419.0,111311.0,96386.0,251516,155399.0,90356.0,81436.0,94898.0
33140.0,48549.0,52099.0,51145.0,51469.0,51557.0,50973,50311.0,50550.0,51462.0,51753.0,45513.0,49236.0,48994.0,49353.0,49485.0,46287,47782.0,48757.0,49477.0,49320.0,3036.0,2863.0,2151.0,2116.0,2072.0,4686,2529.0,1793.0,1985.0,2433.0
33180.0,8729.0,7914.0,7846.0,7624.0,7573.0,7415,7356.0,7320.0,7468.0,7507.0,7986.0,7136.0,7194.0,7124.0,7080.0,6807,6932.0,6922.0,7018.0,6987.0,743.0,778.0,652.0,500.0,493.0,608,424.0,398.0,450.0,520.0
33220.0,41634.0,41011.0,40305.0,40590.0,40108.0,39349,38446.0,40080.0,42109.0,43142.0,39610.0,39096.0,38477.0,38982.0,38596.0,36264,36630.0,38401.0,40493.0,41218.0,2024.0,1915.0,1828.0,1608.0,1512.0,3085,1816.0,1679.0,1616.0,1924.0
33260.0,90572.0,74737.0,79474.0,89912.0,93475.0,87698,88730.0,93702.0,99606.0,103749.0,87416.0,70924.0,76720.0,87708.0,91251.0,79673,83178.0,90580.0,96789.0,100730.0,3156.0,3813.0,2754.0,2204.0,2224.0,8025,5552.0,3122.0,2817.0,3019.0
33300.0,17561.0,18385.0,18489.0,18479.0,18557.0,18492,18485.0,18665.0,18482.0,18935.0,16197.0,17195.0,17465.0,17620.0,17801.0,17283,17650.0,17959.0,17777.0,18201.0,1364.0,1190.0,1024.0,859.0,756.0,1209,835.0,706.0,705.0,734.0
33340.0,823576.0,826297.0,826230.0,819461.0,816974.0,815500,811716.0,807915.0,816348.0,821270.0,784076.0,791411.0,797284.0,793293.0,789455.0,756338,776237.0,783389.0,791794.0,794768.0,39500.0,34886.0,28946.0,26168.0,27519.0,59162,35479.0,24526.0,24554.0,26502.0
33380.0,15500.0,14517.0,14026.0,14170.0,14023.0,13740,13407.0,13525.0,13453.0,13211.0,14146.0,13231.0,13019.0,13296.0,13185.0,12587,12632.0,12952.0,12840.0,12494.0,1354.0,1286.0,1007.0,874.0,838.0,1153,775.0,573.0,613.0,717.0
33420.0,13112.0,12593.0,12693.0,12775.0,12821.0,12548,12417.0,12583.0,12886.0,13162.0,12425.0,11873.0,12147.0,12328.0,12402.0,11628,11689.0,12088.0,12385.0,12636.0,687.0,720.0,546.0,447.0,419.0,920,728.0,495.0,501.0,526.0
33460.0,1932125.0,1978361.0,2009869.0,2021441.0,2046963.0,2053327,2012276.0,2036885.0,2062354.0,2070361.0,1864275.0,1909323.0,1946845.0,1966477.0,1985908.0,1921710,1939976.0,1989123.0,2007880.0,2010522.0,67850.0,69038.0,63024.0,54964.0,61055.0,131617,72300.0,47762.0,54474.0,59839.0
33500.0,38831.0,41188.0,40319.0,39738.0,39594.0,39196,39226.0,39506.0,39883.0,40160.0,37569.0,39607.0,39084.0,38732.0,38727.0,37106,37915.0,38656.0,39048.0,39174.0,1262.0,1581.0,1235.0,1006.0,867.0,2090,1311.0,850.0,835.0,986.0
33540.0,62585.0,66163.0,67272.0,68367.0,69665.0,69622,70252.0,72202.0,73739.0,74317.0,60000.0,63652.0,64864.0,66141.0,67487.0,65455,68003.0,70382.0,71864.0,72163.0,2585.0,2511.0,2408.0,2226.0,2178.0,4167,2249.0,1820.0,1875.0,2154.0
33580.0,14347.0,14281.0,14027.0,13990.0,14071.0,13977,14040.0,14161.0,14194.0,14373.0,13976.0,13915.0,13633.0,13625.0,13706.0,13453,13704.0,13906.0,13968.0,14139.0,371.0,366.0,394.0,365.0,365.0,524,336.0,255.0,226.0,234.0
33620.0,10424.0,11546.0,11339.0,11284.0,11358.0,11109,11207.0,11240.0,11102.0,10896.0,9785.0,10996.0,10871.0,10887.0,10964.0,10503,10790.0,10970.0,10748.0,10499.0,639.0,550.0,468.0,397.0,394.0,606,417.0,270.0,354.0,397.0
33660.0,188233.0,183992.0,183450.0,184518.0,184508.0,186840,182858.0,182728.0,182894.0,186408.0,175270.0,171677.0,173489.0,175728.0,177067.0,170271,174216.0,176839.0,177263.0,179356.0,12963.0,12315.0,9961.0,8790.0,7441.0,16569,8642.0,5889.0,5631.0,7052.0
33700.0,241050.0,243554.0,243510.0,244423.0,244504.0,244332,242978.0,245085.0,249301.0,253633.0,218096.0,222525.0,225259.0,228659.0,229641.0,217902,222926.0,231748.0,233639.0,236156.0,22954.0,21029.0,18251.0,15764.0,14863.0,26430,20052.0,13337.0,15662.0,17477.0
33740.0,100598.0,100077.0,98748.0,98227.0,97036.0,95373,95797.0,96378.0,96156.0,95963.0,93288.0,93435.0,93133.0,92709.0,91593.0,87606,90525.0,92567.0,92097.0,91225.0,7310.0,6642.0,5615.0,5518.0,5443.0,7767,5272.0,3811.0,4059.0,4738.0
33780.0,76602.0,76525.0,75567.0,75610.0,75345.0,74278,71740.0,74634.0,77653.0,79740.0,73117.0,73216.0,71989.0,72394.0,72337.0,67402,67478.0,71083.0,74332.0,75540.0,3485.0,3309.0,3578.0,3216.0,3008.0,6876,4262.0,3551.0,3321.0,4200.0
